word	rank	corpus_count
ma	2	1864911
ei	3	1572717
sa	4	1222288
see	5	1195416
et	6	1068779
ja	7	982161
ta	8	902947
kui	9	660977
seda	10	535171
kas	11	521575
me	12	460751
mis	13	454197
pole	15	398110
jah	16	345483
aga	17	343293
oma	18	321369
siis	19	319250
nii	20	312112
ära	22	296064
siin	26	276902
kõik	27	273014
nad	28	267398
midagi	30	253294
te	32	228620
mulle	34	214018
kes	36	204974
nüüd	38	195294
kuidas	40	189290
ole	41	182169
ka	42	176480
mitte	43	172313
välja	44	170319
tema	45	169636
nagu	46	169138
mina	47	168083
miks	49	161009
veel	51	155813
või	52	150795
meie	53	149210
tagasi	54	148399
hea	56	141605
küll	57	139616
sina	58	136857
väga	59	136463
seal	62	125888
teie	63	124411
lihtsalt	64	122640
üks	65	120075
need	66	116061
kus	67	115378
oleks	68	111281
palju	69	106965
tead	72	104358
siia	73	103619
kuid	74	103426
hästi	75	101716
pärast	76	101541
palun	77	101194
eest	79	100430
meil	82	95796
tere	83	95353
juba	85	94668
olgu	87	93022
keegi	88	91572
isa	89	87931
ainult	90	85801
peale	91	84482
neid	94	82451
ju	96	80849
kunagi	98	79076
sest	99	78644
just	100	78030
tänan	101	76133
ema	103	73278
mees	104	72905
tee	106	71939
minema	109	71756
asi	110	70139
üle	111	69469
maha	112	69323
läbi	113	68572
vaja	114	67538
enam	116	67217
oh	117	66702
tõesti	120	66098
vaid	122	65723
kohe	123	65336
koos	125	65048
taha	128	63894
enne	129	63080
vastu	131	62180
hei	132	61362
olema	133	60768
aru	136	59606
täna	137	59409
jumal	139	58678
saan	140	58552
anna	141	58105
üles	142	57996
kaks	145	57750
korras	147	56211
sisse	148	55433
isegi	150	55058
ise	153	54477
elu	154	54198
end	155	53958
kogu	156	53668
ikka	157	53655
kinni	158	51611
vabandust	159	51248
muidugi	161	50904
jaoks	162	50776
pea	163	50614
valmis	164	50134
eks	167	49558
rohkem	168	49406
alati	169	49176
saad	172	48490
saada	173	48188
ning	175	47160
i	176	46877
raha	177	46869
lase	178	46650
siit	180	46345
kohta	181	46020
praegu	182	45898
liiga	183	45384
oota	186	44295
alla	188	43930
kurat	189	43894
juurde	190	43618
sinna	194	43063
tore	195	42976
lahti	196	42782
aeg	198	42383
kindel	199	42223
kuhu	201	41445
parem	204	41280
korda	205	41204
iga	206	40709
aitäh	207	40640
kuule	209	38913
õigus	212	38759
edasi	213	38512
kõige	214	38326
suur	215	38250
tegema	217	37904
ette	219	37749
ega	221	36999
nimi	224	36526
ühe	225	36465
kahju	227	36107
surnud	228	35942
tegelikult	229	35880
koju	230	35540
noh	234	34175
ilma	235	34015
räägi	238	33436
kuni	239	33186
kokku	241	33051
päris	243	32254
enda	244	32144
vist	246	31935
viga	250	31426
sama	252	31139
kaasa	253	31130
kord	256	30635
naine	258	30507
tähendab	261	30326
väike	262	30081
härra	263	30016
mingi	264	30009
sai	266	29547
kolm	267	29345
las	268	29345
äkki	272	28790
hr	273	28558
töö	275	28249
võib-olla	277	28063
poiss	278	27949
jälle	279	27897
kallis	280	27874
sõber	283	27513
all	285	27411
kaua	286	27377
õige	287	27314
terve	289	26965
kena	290	26948
kindlasti	293	26684
tuli	294	26644
natuke	295	26535
ehk	299	26133
kätte	301	26045
üldse	302	25936
selline	304	25838
ajal	306	25603
täpselt	307	25552
kedagi	309	25305
ärge	310	25283
kuradi	311	25236
hakkama	313	25078
tüdruk	316	24801
päev	317	24757
kust	319	24625
söör	320	24514
teine	321	24491
kuna	326	23664
okei	328	23516
vana	329	23435
juures	331	23260
tunne	333	23069
viis	335	22766
no	342	22274
ilmselt	343	22264
kuula	344	22256
kullake	346	21985
auto	347	21783
raske	348	21748
abi	349	21720
homme	354	21442
elus	355	21362
selge	356	21348
sellepärast	357	21284
hiljem	359	21225
alles	361	21092
milline	364	20925
poole	366	20896
järele	368	20835
varem	370	20640
osa	371	20557
uuesti	372	20371
suurepärane	374	20333
läinud	376	20269
eriti	377	20208
millal	378	20143
järgi	379	20130
aasta	380	20129
ees	381	20122
taga	382	19888
võimalik	383	19834
peal	385	19771
seega	386	19752
vahel	388	19733
jää	389	19717
maja	393	19529
esimene	394	19522
õhtul	395	19305
poolt	397	18998
rääkima	398	18896
parim	399	18893
väljas	400	18780
koht	401	18759
teist	402	18759
paar	403	18635
ainus	404	18631
uus	406	18473
vähemalt	407	18319
kell	409	18097
samuti	411	17989
poeg	412	17983
kiiresti	413	17967
eemale	415	17907
täiesti	417	17795
ilus	418	17784
ah	420	17723
tõsi	421	17705
ümber	422	17671
maailma	424	17657
tõsiselt	426	17539
piisavalt	430	17315
pool	431	17302
võime	433	17297
sir	434	17268
peaaegu	438	17079
panna	440	17000
üksi	442	16925
iganes	443	16912
issand	447	16607
saama	449	16428
veidi	451	16325
eile	452	16290
lugu	454	16286
lähe	455	16249
võimalus	456	16227
lõpuks	459	16115
tehtud	464	15971
võibolla	465	15962
laps	469	15878
heaks	470	15850
vait	471	15814
proua	472	15779
sealt	473	15732
viimane	474	15648
vabandage	476	15554
vend	477	15512
probleem	480	15442
inimene	482	15361
sees	483	15329
hommikul	484	15275
mõte	487	15103
täis	490	14833
käes	492	14799
ringi	495	14707
jama	497	14626
kapten	501	14378
sõna	503	14193
varsti	504	14166
kõigest	508	13989
tänu	511	13848
hetk	512	13829
niimoodi	517	13751
umbes	521	13639
mõlemad	523	13471
järgmine	524	13444
halb	526	13297
pisut	527	13257
otse	528	13246
neetud	529	13065
mööda	532	12929
üsna	534	12906
lahe	537	12797
tähtis	539	12790
mõni	540	12789
hull	541	12773
armas	542	12760
pidi	548	12615
neli	549	12608
persse	551	12569
päeval	553	12508
politsei	555	12482
otsa	556	12417
too	557	12416
kadunud	563	12286
ütlema	565	12252
linna	569	12158
õnnelik	572	12089
halloo	574	12010
saate	575	12003
dr	580	11935
nimel	582	11901
kohal	583	11893
õde	587	11852
nõus	588	11849
kutt	590	11830
maa	592	11794
lihtne	594	11754
laske	596	11704
käest	597	11691
kohale	598	11690
hetkel	601	11601
paremini	602	11600
kuigi	603	11577
jooksul	605	11464
kahe	607	11369
ühte	609	11256
niisiis	610	11247
vale	619	11001
teel	624	10890
miski	629	10826
tubli	631	10767
muidu	633	10738
käsi	636	10678
ikkagi	637	10665
istu	638	10652
siiski	639	10647
ok	644	10603
tõeline	645	10566
valesti	646	10560
küsimus	647	10558
naljakas	648	10555
iial	649	10531
ükskõik	650	10527
loomulikult	657	10395
nemad	662	10336
rahu	663	10302
väärt	664	10277
preili	665	10269
seotud	668	10214
vahele	670	10175
jumala	671	10166
mõttes	672	10162
vaatama	673	10162
kuus	677	10029
pihta	679	10018
doktor	682	9978
võtma	686	9876
uut	687	9856
teadma	688	9846
relv	689	9821
püha	694	9762
luba	696	9738
pere	697	9717
süü	699	9665
semu	701	9644
tütar	703	9606
uks	707	9534
nägu	711	9472
perse	713	9466
ometi	714	9454
milleks	719	9386
plaan	721	9339
moodi	723	9297
kuidagi	724	9292
mitu	725	9278
number	730	9236
tulema	738	9002
jaa	739	8982
lõbus	740	8982
lähedal	742	8951
kuu	746	8908
hoopis	750	8824
öö	752	8762
paha	753	8751
ruttu	758	8625
pealt	759	8621
abikaasa	760	8597
tähelepanu	764	8571
uskumatu	768	8502
hilja	773	8410
magama	774	8389
kombes	775	8377
appi	777	8373
president	778	8353
püsti	781	8255
näiteks	782	8249
üleval	783	8243
issi	784	8236
onu	785	8236
kuhugi	786	8230
kooli	787	8193
vaba	793	8088
nägemist	794	8068
toon	797	8048
ameerika	799	8039
tüüp	801	7984
kolme	802	7963
mr	803	7925
meeldiv	804	7915
maailm	805	7913
rahule	809	7878
korra	810	7870
õhtu	814	7834
vanemad	815	7805
vähem	816	7805
pikk	817	7800
arvates	818	7797
alt	819	7795
oi	822	7787
tavaliselt	823	7773
ülejäänud	824	7766
arust	825	7763
poja	829	7741
asemel	831	7725
kolonel	833	7712
agent	834	7711
suhtes	835	7710
süüdi	836	7691
pani	837	7686
pealegi	838	7672
meel	842	7627
huvitav	843	7620
haige	844	7613
seepärast	845	7602
igatahes	848	7583
tom	849	7582
kiire	851	7540
pähe	853	7519
lõpp	857	7509
lahku	858	7508
kodu	859	7487
koha	860	7484
käi	861	7478
jeesus	862	7477
pagan	865	7463
imelik	871	7416
kuningas	872	7399
noor	873	7360
pr	877	7303
vahet	878	7282
endiselt	880	7249
ohtlik	881	7239
keha	882	7239
päriselt	883	7235
suu	884	7234
loll	886	7225
leidma	889	7215
frank	893	7195
aus	894	7188
idee	895	7157
mõnikord	896	7148
öösel	897	7140
s	899	7124
kiiremini	901	7109
isand	903	7063
arvatavasti	904	7054
pidu	908	7031
värk	911	6999
kõrvale	915	6977
kuradima	916	6970
tõde	919	6935
kohutav	920	6931
nägema	923	6902
hüvasti	924	6892
ammu	926	6865
suurt	927	6859
last	929	6850
paari	932	6820
taas	933	6820
otsima	934	6807
viin	935	6802
oo	936	6801
kindral	937	6784
kahjuks	938	6774
tundma	941	6753
raisk	942	6727
au	945	6722
järel	947	6719
emme	948	6718
sõda	951	6707
kõrval	954	6683
põhjus	956	6679
kõvasti	958	6674
puhas	959	6668
ainuke	961	6666
boss	964	6609
tõtt	967	6598
äri	968	6588
kõne	969	6586
ettevaatlik	972	6565
jätke	974	6550
tegu	975	6547
koer	977	6497
d	979	6486
oluline	980	6482
seekord	983	6441
imeline	986	6408
kaugele	988	6406
väsinud	990	6388
jutt	993	6378
ausalt	995	6370
paigal	996	6353
armastus	1000	6312
rahulikult	1002	6300
kuskil	1003	6289
kümme	1004	6284
must	1006	6254
tapa	1008	6234
mäng	1011	6218
samas	1014	6199
eluga	1018	6186
tugev	1020	6169
terviseks	1022	6156
kutsu	1023	6153
küsi	1026	6140
nina	1027	6138
perekond	1030	6108
pikali	1036	6059
rahvas	1039	6046
süda	1042	6031
uhke	1045	6013
vanaema	1046	5999
t	1050	5966
abielus	1052	5957
vihane	1053	5941
valge	1056	5916
täielikult	1060	5898
idioot	1061	5875
andma	1064	5861
kaugel	1065	5861
vähe	1066	5854
leidis	1068	5836
tark	1070	5812
mil	1072	5799
täielik	1074	5791
mõtlema	1075	5786
rumal	1079	5765
laeva	1080	5755
kusagil	1085	5716
valu	1090	5688
tasa	1093	5653
võimatu	1094	5647
kaheksa	1101	5586
otsi	1109	5540
alates	1110	5531
käima	1111	5531
omad	1112	5530
puhul	1115	5518
pask	1121	5477
tõttu	1122	5476
küllalt	1123	5457
elama	1124	5455
surm	1126	5437
jookse	1128	5423
härrased	1135	5384
selga	1138	5375
seitse	1139	5373
sööma	1140	5372
arst	1141	5369
tuba	1143	5353
lahkuma	1144	5349
edu	1147	5342
ga	1150	5337
käis	1151	5329
nädal	1153	5325
tapma	1154	5309
kasu	1157	5296
suurem	1160	5287
korraks	1162	5283
pigem	1165	5263
vennas	1168	5248
otsas	1170	5241
linn	1172	5221
vea	1173	5220
bill	1175	5218
külm	1176	5214
leitnant	1186	5152
rõõm	1188	5146
lahke	1189	5143
külge	1192	5132
siiani	1193	5131
kuum	1195	5105
igavesti	1196	5104
telefon	1198	5098
tõuse	1199	5093
uh	1203	5076
teadis	1204	5071
hullu	1207	5057
vanaisa	1208	5052
nali	1211	5037
ühes	1216	5009
tühi	1219	4983
suunas	1221	4979
põrgu	1222	4975
a	1223	4975
õnn	1224	4973
ootama	1225	4965
eemal	1229	4945
ükski	1232	4929
miss	1233	4926
täitsa	1235	4915
tõeliselt	1237	4909
tavaline	1238	4908
max	1245	4884
jääma	1246	4875
lõpuni	1247	4874
vau	1249	4851
maksma	1250	4847
peagi	1254	4838
mary	1255	4835
hallo	1256	4835
seni	1259	4831
laskma	1260	4820
hullem	1261	4820
arvata	1262	4817
üksinda	1263	4816
õigesti	1265	4800
korral	1268	4785
eriline	1270	4775
meeskond	1273	4770
möödas	1276	4732
vara	1284	4691
kerge	1285	4684
kate	1286	4667
kirjas	1287	4666
halvasti	1288	4664
viimati	1290	4663
põhja	1291	4653
saadan	1292	4653
pärit	1297	4644
ettevaatust	1299	4635
seersant	1301	4626
veri	1304	4611
laev	1305	4608
üksteist	1307	4593
muu	1308	4589
ava	1309	4588
olukord	1313	4561
inglise	1314	4561
o	1316	4546
taevas	1317	4543
venna	1319	4532
seis	1321	4526
lisaks	1328	4490
seisma	1330	4483
tihti	1332	4478
kallal	1335	4471
lisa	1337	4464
normaalne	1348	4431
niisama	1349	4426
loe	1351	4418
sõnad	1354	4406
kuninganna	1355	4401
tuhat	1356	4399
täiuslik	1360	4392
loodetavasti	1366	4371
muide	1367	4370
sedasi	1368	4362
sitapea	1369	4358
viima	1370	4355
katki	1372	4340
huvitatud	1376	4330
ütleme	1380	4324
juurest	1381	4316
aitama	1382	4316
püsi	1385	4308
valus	1386	4306
kõigepealt	1387	4306
vaene	1390	4298
panema	1393	4282
vesi	1397	4257
peas	1398	4256
üllatus	1402	4240
kurb	1403	4236
uurija	1406	4231
segi	1414	4212
ime	1415	4193
muusika	1421	4173
lahkus	1422	4167
pilt	1423	4164
valik	1425	4155
tänud	1426	4153
armunud	1427	4150
teene	1428	4147
uskuma	1430	4139
kaasas	1432	4124
korralikult	1439	4107
peast	1440	4102
fbi	1443	4096
hoidma	1446	4067
maal	1447	4062
pidevalt	1449	4057
veider	1450	4053
igaüks	1452	4048
tõsine	1453	4045
vastus	1455	4037
kaudu	1458	4037
tagant	1459	4033
otsast	1460	4025
õpetaja	1466	4008
tund	1467	4007
jobu	1468	4002
kaela	1470	3993
vangi	1471	3993
liikuma	1476	3973
punane	1478	3966
tädi	1481	3962
ohtu	1483	3943
kõva	1484	3943
firma	1487	3925
kaunis	1489	3923
tarvis	1495	3909
segane	1497	3905
loo	1499	3897
kala	1500	3892
rahul	1501	3888
isiklikult	1502	3888
tasuta	1505	3875
plaani	1507	3871
hämmastav	1509	3869
õnnetus	1513	3862
esiteks	1515	3859
võlgu	1518	3851
antud	1523	3831
st	1524	3829
mängima	1532	3801
suurim	1534	3797
hetkeks	1536	3788
vahest	1537	3788
juht	1539	3784
major	1540	3778
professor	1543	3767
äsja	1544	3764
liha	1545	3762
nägemiseni	1546	3761
kähku	1548	3759
maas	1549	3754
raamat	1558	3738
surema	1561	3731
muutus	1562	3730
kolmas	1564	3728
juuksed	1571	3708
ükskord	1572	3707
ist	1573	3706
natukene	1579	3683
abielu	1580	3683
keeruline	1582	3674
purjus	1584	3670
libu	1587	3661
uudis	1594	3648
teatud	1598	3616
kaitse	1599	3614
tõepoolest	1605	3599
mark	1606	3599
selja	1607	3595
võimas	1608	3589
aju	1609	3587
lõpetama	1610	3587
väljaspool	1612	3577
näljane	1613	3577
litapoeg	1620	3561
meelest	1623	3557
teisiti	1624	3556
võti	1627	3552
üheksa	1628	3549
otsus	1632	3528
lausa	1633	3527
näkku	1635	3522
karm	1639	3515
usa	1640	3514
tõenäoliselt	1643	3510
vaevalt	1644	3507
pääse	1651	3486
kangelane	1652	3471
ligi	1654	3462
häbi	1655	3459
majesteet	1656	3457
hüva	1658	3455
kaamera	1660	3453
vaat	1666	3433
alguses	1668	3429
laiali	1669	3426
küsima	1671	3424
tooma	1675	3408
hääl	1676	3406
muretsema	1683	3381
l	1685	3379
jube	1687	3378
puu	1688	3372
vabalt	1692	3363
tähtsam	1694	3357
moel	1697	3354
pete	1698	3353
kauaks	1702	3347
pööra	1704	3343
saatus	1705	3333
keset	1708	3326
nelja	1711	3310
jõudu	1712	3305
lähemale	1713	3303
esmalt	1715	3302
rõõmus	1716	3300
vasakule	1719	3295
tervist	1720	3294
meelega	1721	3294
lee	1722	3289
ideaalne	1725	3278
vee	1727	3275
toime	1728	3275
armee	1730	3274
km	1736	3254
abil	1737	3252
siinsamas	1739	3247
tänulik	1740	3245
hõivatud	1744	3242
värdjas	1746	3235
igav	1749	3232
võimeline	1752	3223
kivi	1754	3215
ent	1755	3211
pime	1757	3210
prantsuse	1761	3190
avatud	1762	3189
lõuna	1765	3184
korraga	1766	3183
süütu	1768	3174
matt	1773	3168
igaveseks	1775	3161
kindlalt	1783	3150
de	1789	3139
leedi	1790	3137
jõud	1791	3134
kohtuma	1793	3131
kingitus	1795	3130
kallike	1803	3108
enamus	1805	3107
don	1806	3106
vajalik	1807	3106
paika	1808	3104
suletud	1809	3102
hiljuti	1815	3093
ülesanne	1817	3089
omavahel	1821	3074
mõju	1824	3071
lemmik	1826	3068
toit	1830	3051
paremale	1836	3039
nimelt	1837	3038
ohutu	1840	3031
eelmine	1844	3018
film	1845	3017
osas	1846	3014
naeruväärne	1847	3012
kauem	1848	3008
võmm	1853	3002
info	1857	2991
tõbras	1858	2989
vaikselt	1863	2983
koletis	1864	2983
kah	1867	2980
paps	1868	2978
hiina	1870	2977
arusaadav	1872	2975
nagunii	1874	2971
printsess	1877	2968
saladus	1878	2968
rahulik	1887	2940
jess	1890	2938
küllap	1894	2934
jätma	1897	2929
kõikjal	1898	2926
ülesse	1899	2924
külla	1900	2924
pagana	1904	2918
aeglaselt	1905	2915
advokaat	1907	2913
ala	1908	2912
õnneks	1909	2911
kuul	1910	2909
huvi	1912	2904
rase	1913	2904
lubatud	1914	2902
hing	1917	2895
helistama	1919	2892
eales	1920	2892
seetõttu	1921	2890
jagu	1922	2888
õe	1923	2886
õppima	1924	2886
oot	1925	2882
pikka	1927	2881
suhe	1928	2878
kuulus	1930	2876
la	1934	2869
tuttav	1935	2868
paks	1936	2868
anne	1937	2868
endine	1938	2865
kummaline	1939	2864
päike	1942	2855
lennuk	1943	2852
siiapoole	1950	2842
käsk	1952	2840
lits	1957	2826
sitt	1958	2826
kõht	1964	2821
juhtum	1966	2819
piiri	1968	2818
nõu	1969	2815
raamatu	1971	2814
häda	1973	2805
mure	1979	2792
sõnum	1987	2778
luua	1990	2768
terekest	1991	2767
vägev	1993	2765
voodi	1994	2764
nõbu	1996	2761
nuga	1998	2758
tapja	2002	2750
kaart	2004	2748
kuulama	2005	2747
üllatunud	2006	2746
ohvitser	2008	2737
samamoodi	2010	2736
minut	2011	2736
sõbrake	2016	2728
sõitma	2018	2720
tuju	2020	2718
politseinik	2022	2716
vaevu	2023	2714
kuninga	2029	2710
vastik	2030	2708
täiega	2035	2701
komandör	2038	2699
väikse	2042	2688
vanem	2044	2687
jõudma	2045	2687
al	2048	2680
it	2050	2679
ennem	2051	2676
jalg	2054	2672
pomm	2055	2671
sõdur	2056	2670
lood	2057	2669
ajalugu	2059	2667
toru	2060	2665
und	2061	2664
kasutama	2064	2652
eelnevalt	2065	2651
püksid	2067	2649
viimaks	2070	2641
puudu	2071	2638
isiklik	2073	2637
aina	2074	2635
vali	2077	2627
seejärel	2078	2627
partner	2080	2624
justkui	2081	2621
eesmärk	2082	2620
treener	2084	2618
teises	2086	2615
hirmus	2090	2609
kohtunik	2094	2605
jala	2095	2603
ülemus	2097	2599
arvuti	2103	2592
tükk	2111	2582
kana	2113	2582
tunnistama	2115	2579
valitsus	2116	2577
osav	2120	2572
tulevik	2121	2571
lõpus	2122	2568
pisike	2123	2567
päralt	2124	2565
igavene	2125	2561
märk	2126	2558
viha	2128	2553
prints	2138	2544
iialgi	2145	2535
maitse	2151	2532
päevad	2152	2532
kahekesi	2153	2530
sobi	2156	2526
põlema	2159	2522
kohtumine	2161	2519
nojah	2163	2517
turvaline	2164	2515
niigi	2166	2507
sõnul	2168	2504
lähedale	2170	2503
rooma	2171	2503
kiri	2181	2482
sinine	2184	2474
kuskile	2185	2474
side	2188	2468
sündinud	2190	2468
pidama	2191	2468
teade	2193	2464
absoluutselt	2196	2461
küljest	2199	2452
seljas	2204	2443
teistsugune	2208	2438
kaduma	2209	2436
tasu	2212	2431
algus	2213	2431
teiseks	2218	2428
päästma	2219	2428
vene	2223	2419
kõrini	2224	2419
äge	2225	2419
muudkui	2226	2418
kott	2228	2414
senaator	2229	2414
masin	2230	2411
kohutavalt	2238	2400
loogiline	2240	2397
sara	2247	2391
viisil	2249	2390
keelatud	2251	2389
õppinud	2253	2387
segaduses	2259	2380
hoolimata	2260	2379
klubi	2262	2378
roni	2265	2376
kenasti	2268	2372
kõrge	2269	2371
sada	2273	2365
võitlema	2275	2363
klient	2276	2361
ajama	2277	2360
uurima	2280	2359
seas	2281	2358
sihtmärk	2282	2357
närvis	2283	2356
mõrvar	2285	2355
daam	2286	2355
alasti	2288	2353
mälu	2290	2351
e	2291	2350
ravi	2292	2348
ääres	2294	2346
van	2296	2344
ee	2298	2341
saksa	2300	2338
kristus	2301	2338
c	2303	2335
valgus	2304	2333
vaenlane	2305	2332
niipea	2307	2329
cia	2309	2329
ärme	2310	2329
tüli	2311	2329
viisi	2321	2317
hullumeelne	2326	2312
veelgi	2328	2309
palli	2329	2308
nõrk	2330	2306
samm	2331	2305
õhtusöök	2332	2305
teema	2334	2304
mujale	2337	2303
morgan	2348	2291
nõid	2349	2291
nõnda	2353	2288
tsau	2354	2287
prl	2355	2284
kanna	2356	2282
vanamees	2358	2280
töötama	2359	2278
sünnipäev	2360	2277
seksikas	2363	2273
söönud	2365	2273
hoone	2366	2272
saadik	2372	2263
liialt	2374	2259
tundu	2376	2259
isik	2381	2252
kass	2383	2251
juhtuma	2386	2247
vaikne	2387	2245
koheselt	2391	2244
kood	2397	2238
vot	2398	2237
ilmselgelt	2400	2233
york	2401	2232
vinge	2406	2225
kiirelt	2414	2219
järsku	2417	2218
otsekohe	2420	2215
kandma	2421	2214
näo	2423	2210
ohver	2428	2197
räpane	2429	2196
takso	2430	2196
pahane	2431	2195
kaitsma	2433	2193
hirm	2435	2190
tahes	2438	2187
persevest	2442	2185
lihtsam	2445	2184
õieti	2447	2184
harjunud	2451	2180
meister	2455	2174
värvi	2456	2174
paras	2457	2173
vast	2461	2170
selgelt	2462	2168
poisu	2464	2166
mujal	2468	2164
fantastiline	2469	2163
keel	2476	2156
tuntud	2482	2147
kohus	2485	2145
vapper	2486	2144
erinev	2488	2143
kaugemale	2493	2140
pealik	2494	2139
jackson	2495	2138
siga	2499	2133
stopp	2506	2120
kallale	2508	2115
ettevaatlikult	2510	2113
hind	2524	2102
keskel	2525	2101
beebi	2527	2097
linnapea	2529	2097
ai	2532	2095
suurepäraselt	2533	2095
kel	2535	2091
vahepeal	2536	2091
aamen	2537	2090
noormees	2540	2084
kraam	2543	2081
kokkulepe	2545	2079
enamik	2549	2074
võit	2555	2068
rikas	2558	2061
jõuluvana	2560	2057
peatu	2562	2056
kool	2564	2055
geenius	2565	2053
relvastatud	2566	2053
niikuinii	2567	2050
elusalt	2569	2048
aastane	2571	2046
silm	2573	2045
aadress	2577	2039
üldsegi	2579	2038
jalgu	2580	2037
piinlik	2581	2037
hmm	2582	2034
kutsuma	2584	2032
ust	2586	2031
tükki	2590	2026
palu	2597	2016
peo	2599	2013
laul	2603	2008
usaldama	2605	2007
lord	2608	2005
tegelema	2609	2004
sügavalt	2612	2000
nõme	2618	1998
rühm	2623	1992
suitsu	2626	1989
roheline	2628	1988
vahi	2633	1985
saati	2636	1984
võimalikult	2637	1983
ärkvel	2643	1978
riik	2644	1977
mulje	2645	1975
võitlus	2646	1975
luke	2651	1972
samasugune	2657	1964
pommi	2659	1962
üha	2665	1958
närvi	2669	1952
täpsemalt	2672	1952
korralik	2674	1950
küla	2677	1946
seks	2678	1946
jooma	2679	1946
möödunud	2684	1941
külma	2687	1940
niikaua	2699	1932
põnev	2700	1931
mõistlik	2701	1931
raadio	2703	1930
m	2706	1928
ametlikult	2707	1927
kotti	2709	1927
inspektor	2711	1925
miljon	2727	1912
energia	2731	1908
teoksil	2738	1902
reis	2739	1902
üksteise	2741	1901
hoidis	2748	1895
loom	2749	1895
seljast	2754	1891
oht	2758	1889
goa	2760	1888
andmed	2763	1885
järjekordne	2764	1882
direktor	2766	1882
veelkord	2770	1879
kasuks	2776	1872
omanik	2780	1871
süsteem	2781	1869
istuma	2782	1868
õiglane	2787	1862
missioon	2788	1862
kiirabi	2789	1862
niipalju	2791	1861
vittu	2794	1860
tuul	2795	1859
hobune	2798	1855
karu	2799	1852
soe	2800	1851
b	2802	1848
nimekiri	2811	1846
mõõk	2814	1845
mõrv	2817	1842
liige	2823	1838
õel	2824	1838
näitama	2830	1832
värav	2836	1831
valetaja	2837	1831
kirjutama	2838	1828
proovima	2840	1828
laip	2842	1828
sugugi	2846	1826
nr	2847	1825
tobe	2854	1822
võitja	2856	1821
vangla	2865	1814
kuju	2869	1812
haigla	2870	1811
kasulik	2871	1811
tähendama	2872	1811
tagumik	2874	1810
pariisi	2880	1807
kuri	2881	1806
löök	2882	1804
vaim	2886	1802
õhk	2889	1799
kergelt	2890	1799
unistus	2891	1798
julge	2892	1798
ostma	2893	1798
video	2894	1798
korter	2895	1797
kumb	2896	1797
aa	2897	1794
äärmiselt	2901	1789
reegel	2902	1789
pakkumine	2904	1787
kaupa	2906	1785
külaline	2908	1784
saatma	2909	1784
kohaselt	2918	1776
tohutu	2920	1773
uuri	2922	1769
võim	2926	1765
vastas	2931	1759
pall	2934	1758
arm	2935	1757
meeldima	2936	1757
musi	2941	1755
omaenda	2942	1755
teadlik	2950	1750
dna	2954	1745
fakt	2955	1743
hispaania	2956	1743
andestust	2958	1742
raskem	2961	1739
tunnistaja	2962	1739
lahendus	2965	1738
seadus	2968	1733
lõbu	2969	1733
kole	2973	1732
lapsuke	2980	1729
ausus	2981	1729
sega	2982	1728
sadu	2985	1726
gei	2987	1725
lind	2989	1725
värske	2991	1722
koguaeg	2992	1722
hoor	2998	1719
sittagi	3000	1717
kohting	3001	1716
rõõmu	3004	1713
hale	3010	1708
nurga	3011	1708
soov	3012	1707
pooleli	3015	1706
lootus	3022	1698
tänaseks	3023	1698
algul	3024	1698
argpüks	3025	1697
kleit	3026	1696
teooria	3028	1696
operatsioon	3029	1695
hirmul	3032	1694
imeilus	3034	1693
küljes	3035	1693
põhjal	3038	1692
õnnetu	3040	1690
muna	3042	1690
peamine	3044	1688
pardal	3050	1687
laud	3054	1684
teal	3055	1684
juhataja	3057	1683
põhimõtteliselt	3063	1674
vasak	3068	1671
pika	3074	1668
peidus	3076	1666
ingel	3078	1662
vaatamata	3079	1662
tänane	3080	1659
keri	3083	1659
foto	3087	1658
vihje	3090	1655
seoses	3091	1654
kilo	3094	1653
pardale	3096	1653
täiskasvanud	3099	1651
kontrollima	3100	1651
rünnak	3107	1646
maagia	3109	1644
vastavalt	3114	1640
alal	3118	1638
omaette	3122	1636
muljetavaldav	3123	1635
tulevikus	3124	1635
surnukeha	3126	1635
hunt	3129	1634
türa	3131	1633
mõistma	3134	1632
kuritegu	3135	1632
seest	3136	1632
kartma	3139	1630
õlu	3140	1630
hulgas	3141	1630
salajane	3143	1628
kõrgeausus	3147	1627
arve	3148	1627
südamest	3151	1626
võrratu	3153	1625
laura	3154	1625
rong	3156	1624
vahva	3157	1624
linda	3159	1623
paluma	3166	1620
lend	3168	1619
piloot	3170	1617
näitleja	3172	1616
lugema	3176	1614
jooksma	3177	1613
kursis	3179	1612
puhkama	3180	1611
kogemata	3182	1611
looma	3187	1606
kasvõi	3193	1604
kontroll	3196	1600
kurt	3197	1600
ilu	3200	1596
pettunud	3202	1594
tapmine	3204	1593
juhuslikult	3205	1593
poolest	3211	1591
parata	3214	1590
sooja	3216	1588
mõistus	3218	1586
hullumeelsus	3220	1586
kahtlemata	3221	1585
maitsev	3226	1583
olemine	3227	1583
kasti	3228	1583
külas	3231	1582
tibi	3234	1580
pruut	3236	1580
teadmata	3237	1577
varas	3240	1574
madam	3250	1568
mõttetu	3251	1568
jõe	3252	1567
targem	3253	1566
sunnitud	3254	1566
lukus	3258	1563
itaalia	3260	1561
auk	3265	1560
karen	3267	1559
nahk	3269	1559
tulekahju	3270	1559
vastupidi	3271	1556
üksik	3272	1556
vang	3277	1552
kuniks	3282	1549
